timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
16.09.2015 13:11:32,MWM,4,1,3,1,4,3,4,3,1,2,NA,0.0,22,Frau,3,NA,nein,NA,,,NA,0.08695652173913043,2.6,3.0,NA
18.09.2015 09:56:50,JDF,4,1,1,1,3,2,3,3,4,2,350,3.0,21,Frau,4,NA,ja,7.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
18.09.2015 20:59:42,dhn,4,2,2,1,4,1,3,1,4,4,550,15.0,24,Frau,4,3.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,2.5,NA
19.09.2015 11:07:20,ABS,3,3,3,2,3,2,4,2,3,3,NA,NA,NA,,3,NA,,NA,,,NA,0.13043478260869565,2.8,3.0,NA
20.09.2015 13:36:13,JBM,4,2,2,2,4,2,4,2,4,1,278,4.0,24,Frau,4,5.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.7,2.0,NA
20.09.2015 18:46:14,GSR,3,2,2,2,2,2,3,3,3,2,150,2.0,22,Frau,3,5.0,ja,12.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.4,2.0,1.0
20.09.2015 22:04:56,VSM,4,2,2,1,4,2,3,1,3,2,500,0.0,19,Frau,4,1.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.0,NA
20.09.2015 22:05:20,FEG,4,1,4,1,4,1,4,1,4,4,892,12.0,21,Mann,3,1.0,nein,30.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.8,4.0,NA
20.09.2015 22:05:20,GMI,3,1,2,2,3,2,2,2,4,2,388,30.0,25,Frau,4,10.0,nein,35.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.3,2.0,1.0
20.09.2015 22:08:09,CML,4,1,2,2,3,3,4,1,4,2,300,30.0,25,Frau,4,10.0,nein,40.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,2.5,NA
20.09.2015 22:12:50,SNI,3,1,1,1,3,2,3,2,3,1,250,12.0,20,Frau,4,5.0,nein,24.0,,,NA,0.043478260869565216,2.0,2.0,NA
20.09.2015 22:16:20,GGE,4,1,2,2,4,1,3,2,4,3,420,15.0,24,Frau,4,10.0,nein,12.0,im Schnitt 1 Mal pro Woche,,NA,0.043478260869565216,2.6,2.5,1.0
20.09.2015 23:06:33,SBM,4,1,2,2,3,1,3,2,3,2,236,1.0,23,Frau,4,5.0,nein,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.0,NA
21.09.2015 10:36:16,RMM,3,2,1,2,3,2,2,1,4,1,300,25.0,20,Frau,2,20.0,nein,30.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.1,2.0,1.0
21.09.2015 19:39:58,MMB,3,1,1,2,4,1,3,1,4,2,430,5.0,23,Frau,4,5.0,nein,15.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.2,2.0,1.0
21.09.2015 21:29:32,MSI,3,2,3,3,2,2,3,2,3,2,0,0.0,20,Frau,2,15.0,nein,20.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.5,NA
23.09.2015 11:20:31,HHS,4,1,2,1,4,1,3,2,4,3,649,12.0,22,Frau,4,4.0,nein,20.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.5,NA
25.09.2015 12:41:36,DUS,3,3,1,3,2,3,2,3,3,2,195,0.0,30,Mann,4,60.0,ja,5.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,3.0,NA
26.09.2015 12:54:46,JWD,3,2,1,1,4,2,3,2,3,3,200,4.0,24,Frau,4,10.0,ja,36.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
28.09.2015 12:19:51,WHG,4,3,2,1,4,2,4,2,4,4,188,3.0,45,Mann,4,3.0,ja,25.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,3.0,3.5,NA
